model,condition,accuracy,mean_confidence,brier_score,log_score,overconfidence,n_valid,trial
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,313
mistralai/Mistral-7B-Instruct-v0.2,C1,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,314
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,315
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,316
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,0.9,0.5,3.4543778896578594,0.5,10,317
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,318
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,319
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,320
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,321
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,322
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,0.9,0.4,2.7637024117930045,0.4,10,323
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,324
mistralai/Mistral-7B-Instruct-v0.2,C1,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,325
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,326
mistralai/Mistral-7B-Instruct-v0.2,C1,0.3,1.0,0.7,4.83572884538757,0.7,10,327
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,328
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,329
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,330
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,331
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,332
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,333
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,334
mistralai/Mistral-7B-Instruct-v0.2,C1,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,335
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,336
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,337
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,338
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,339
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,340
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,341
mistralai/Mistral-7B-Instruct-v0.2,C1,0.3,1.0,0.7,4.83572884538757,0.7,10,342
mistralai/Mistral-7B-Instruct-v0.2,C1,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,343
mistralai/Mistral-7B-Instruct-v0.2,C1,0.3,1.0,0.7,4.83572884538757,0.7,10,344
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,345
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,346
mistralai/Mistral-7B-Instruct-v0.2,C1,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,347
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,348
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,349
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,350
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,351
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,352
mistralai/Mistral-7B-Instruct-v0.2,C1,0.3,1.0,0.7,4.83572884538757,0.7,10,353
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,354
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,0.9,0.4,2.7637024117930045,0.4,10,355
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,356
mistralai/Mistral-7B-Instruct-v0.2,C1,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,357
